epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,7790.44,0.79319,0.57268,1.08527,0.83035,0.78903,0.85242,0.70123,0.80778,0.56869,1.1374,0.0084754,0.0084754,0.0084754
156,7840.17,0.79449,0.56864,1.08788,0.84029,0.77958,0.85346,0.70023,0.80644,0.57106,1.13573,0.0084655,0.0084655,0.0084655
157,7890.56,0.789,0.57162,1.08534,0.85531,0.76972,0.85389,0.69578,0.8073,0.56865,1.13881,0.0084556,0.0084556,0.0084556
158,7940.33,0.79031,0.56657,1.08791,0.83033,0.79198,0.85285,0.69783,0.80721,0.56907,1.13827,0.0084457,0.0084457,0.0084457
159,7990.31,0.78385,0.56078,1.08553,0.81864,0.79867,0.85693,0.70103,0.80576,0.56667,1.13596,0.0084358,0.0084358,0.0084358
160,8041.03,0.78999,0.56743,1.08347,0.84163,0.78824,0.85673,0.70198,0.80649,0.56701,1.13662,0.0084259,0.0084259,0.0084259
161,8090.62,0.79449,0.56539,1.09217,0.85848,0.76733,0.85726,0.70237,0.80652,0.56637,1.13727,0.008416,0.008416,0.008416
162,8140.4,0.78616,0.56376,1.08025,0.84187,0.78091,0.85739,0.70181,0.80374,0.56521,1.13455,0.0084061,0.0084061,0.0084061
163,8190.35,0.79267,0.56771,1.08906,0.83595,0.78862,0.85699,0.70178,0.80293,0.56671,1.13442,0.0083962,0.0083962,0.0083962
164,8240.43,0.78228,0.56259,1.08229,0.83746,0.79113,0.85784,0.70421,0.80266,0.56604,1.13434,0.0083863,0.0083863,0.0083863
165,8289.79,0.78401,0.55959,1.0804,0.83425,0.80721,0.86117,0.70747,0.80309,0.56796,1.13424,0.0083764,0.0083764,0.0083764
166,8339.72,0.78065,0.55878,1.07709,0.83555,0.78573,0.8589,0.70465,0.80255,0.56741,1.13312,0.0083665,0.0083665,0.0083665
167,8390.03,0.78425,0.55884,1.08251,0.83501,0.79112,0.85938,0.70262,0.80183,0.56605,1.13252,0.0083566,0.0083566,0.0083566
168,8440.69,0.78188,0.55877,1.08039,0.83551,0.80226,0.85955,0.70147,0.80263,0.56483,1.1346,0.0083467,0.0083467,0.0083467
169,8490.76,0.78428,0.55826,1.08213,0.85099,0.78935,0.85976,0.70172,0.80354,0.56474,1.13524,0.0083368,0.0083368,0.0083368
170,8540.17,0.78822,0.56437,1.08154,0.84359,0.78649,0.85997,0.70347,0.80355,0.56523,1.1342,0.0083269,0.0083269,0.0083269
171,8589.95,0.78347,0.55748,1.07785,0.85041,0.77673,0.8596,0.70484,0.80223,0.56468,1.13341,0.008317,0.008317,0.008317
172,8639.41,0.78137,0.55032,1.07773,0.86356,0.77089,0.85942,0.70578,0.80111,0.56524,1.13177,0.0083071,0.0083071,0.0083071
173,8689.56,0.78721,0.55794,1.08558,0.85106,0.77886,0.85982,0.7047,0.80209,0.5657,1.13356,0.0082972,0.0082972,0.0082972
174,8738.74,0.77958,0.55337,1.08202,0.85028,0.78521,0.85804,0.7033,0.80163,0.56575,1.13426,0.0082873,0.0082873,0.0082873
175,8789.74,0.77815,0.54852,1.07266,0.84931,0.78813,0.85825,0.70223,0.8032,0.56784,1.13687,0.0082774,0.0082774,0.0082774
176,8839.07,0.77165,0.54582,1.07328,0.8366,0.80106,0.8571,0.7019,0.80314,0.56712,1.13615,0.0082675,0.0082675,0.0082675
177,8888.92,0.77772,0.55358,1.07612,0.83868,0.80371,0.85694,0.70183,0.80064,0.5666,1.13461,0.0082576,0.0082576,0.0082576
178,8938.54,0.78268,0.5504,1.07026,0.84476,0.7942,0.85698,0.70198,0.80009,0.56514,1.1336,0.0082477,0.0082477,0.0082477
