epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,3079.55,1.02405,0.6955,0.88679,0.86973,0.78273,0.86381,0.58896,1.08137,0.66167,0.92444,0.0072676,0.0072676,0.0072676
140,3101.23,1.0229,0.72639,0.88618,0.86762,0.77292,0.86867,0.59754,1.09742,0.6283,0.93184,0.0072478,0.0072478,0.0072478
141,3123.22,1.02052,0.71428,0.88666,0.88825,0.79114,0.86975,0.58847,1.11025,0.67277,0.92416,0.007228,0.007228,0.007228
142,3144.69,1.01485,0.68484,0.88354,0.83456,0.84389,0.88459,0.61069,1.04199,0.59921,0.91297,0.0072082,0.0072082,0.0072082
143,3166.22,1.05366,0.724,0.88209,0.8737,0.78732,0.88402,0.60053,1.1065,0.62673,0.93166,0.0071884,0.0071884,0.0071884
144,3188.16,1.04677,0.72877,0.8796,0.84877,0.81795,0.87636,0.606,1.11914,0.62247,0.93729,0.0071686,0.0071686,0.0071686
145,3210.03,1.06006,0.72994,0.88845,0.90409,0.76454,0.87238,0.60315,1.09785,0.64011,0.92819,0.0071488,0.0071488,0.0071488
146,3231.46,1.04332,0.7106,0.8806,0.89277,0.81797,0.88792,0.60228,1.09334,0.62229,0.93485,0.007129,0.007129,0.007129
147,3253.32,1.02078,0.69406,0.88787,0.84427,0.83082,0.88495,0.5976,1.09992,0.60801,0.92846,0.0071092,0.0071092,0.0071092
148,3275.14,1.03908,0.71255,0.88549,0.85818,0.82984,0.87106,0.58958,1.08958,0.61638,0.92702,0.0070894,0.0070894,0.0070894
149,3297.29,0.98299,0.67776,0.87553,0.88977,0.77728,0.86613,0.58752,1.09181,0.64484,0.92458,0.0070696,0.0070696,0.0070696
150,3319.2,1.00511,0.69309,0.88082,0.87418,0.81577,0.86927,0.58899,1.11535,0.651,0.93025,0.0070498,0.0070498,0.0070498
151,3340.85,1.00729,0.67934,0.87153,0.91959,0.78212,0.8817,0.5927,1.08122,0.60828,0.92356,0.00703,0.00703,0.00703
152,3362.71,1.01878,0.68414,0.8736,0.89513,0.78955,0.86952,0.58835,1.11006,0.64325,0.92919,0.0070102,0.0070102,0.0070102
153,3384.65,1.0075,0.68491,0.8775,0.86952,0.76946,0.8499,0.58694,1.10387,0.64245,0.92694,0.0069904,0.0069904,0.0069904
154,3406.67,1.0239,0.69956,0.88439,0.86633,0.79063,0.85266,0.58155,1.09403,0.6729,0.9307,0.0069706,0.0069706,0.0069706
155,3427.91,1.02846,0.71942,0.8865,0.81188,0.8145,0.86557,0.58398,1.0921,0.65345,0.9259,0.0069508,0.0069508,0.0069508
156,3450.19,1.00878,0.68114,0.88607,0.90977,0.78734,0.8734,0.59703,1.07125,0.60782,0.92346,0.006931,0.006931,0.006931
157,3471.47,1.0056,0.67486,0.87086,0.84588,0.77571,0.84662,0.59216,1.08718,0.65255,0.92312,0.0069112,0.0069112,0.0069112
158,3492.68,1.00262,0.68049,0.87731,0.85282,0.82219,0.88338,0.6091,1.08523,0.60273,0.92765,0.0068914,0.0068914,0.0068914
159,3514.51,1.0101,0.69419,0.87722,0.86971,0.82129,0.89059,0.61113,1.08319,0.61032,0.9248,0.0068716,0.0068716,0.0068716
160,3536.55,1.0173,0.6887,0.88028,0.91847,0.75804,0.86929,0.60247,1.11989,0.64208,0.93578,0.0068518,0.0068518,0.0068518
161,3558.39,1.00359,0.6804,0.86934,0.8686,0.81599,0.87691,0.60788,1.09186,0.63262,0.92646,0.006832,0.006832,0.006832
162,3579.83,0.99804,0.69215,0.87236,0.90457,0.80859,0.89125,0.60538,1.10845,0.59764,0.93102,0.0068122,0.0068122,0.0068122
163,3601.05,1.01317,0.66977,0.87966,0.92554,0.78799,0.88502,0.60459,1.0802,0.59789,0.92669,0.0067924,0.0067924,0.0067924
164,3622.56,1.024,0.68374,0.87714,0.85411,0.81092,0.883,0.59791,1.08195,0.6197,0.92807,0.0067726,0.0067726,0.0067726
165,3644.03,0.97917,0.66651,0.86954,0.87984,0.83158,0.8933,0.59878,1.0975,0.60225,0.92887,0.0067528,0.0067528,0.0067528
